name,taxon_id,family,count
Austropetalia tonyana,323652,85619,29
Taygete attributella,232337,210585,673
Axiopsis serratifrons,490581,171357,3
Axymyia furcata,367239,367238,4
Clonopsis gallica,337089,337090,693
Cloeon dipterum,217219,48009,328
Baetisca lacustris,214812,173464,2
Semibalanus balanoides,118832,49128,2431
Balloniscus sellowii,856607,424995,3
Barbarochthon brunneum,652583,981174,1
Parhippolyte misticia,983830,849310,8
Seqocrypta jakara,830496,143552,36
Monitus testudinatus,1416397,339121,1
Batrachedra praeangusta,214908,173417,142
Neomolgus littoralis,120956,120955,89
Bedellia somnulentella,214958,173416,214
Beesonia ferrugineus,739497,739500,78
Dolania americana,218620,173784,3
Rhinotia haemoptera,424594,201388,152
Belisarius xambeui,130034,1286465,34
Bellia picta,751724,373282,41
Beloniscus albiephippiatus,526414,983073,1
Lethocerus americanus,81572,81570,2656
Damarchus workmani,786456,1108914,6
Benthoecetes bartletti,1375107,245484,1
Beraea pullata,533441,173415,2
Lomamyia squamosa,307858,177315,165
Neoneides muticus,60039,57804,377
Pristepyris armiferus,1116113,203283,13
Plecia nearctica,127635,56097,4572
Biphyllus lunatus,577756,173920,48
Harpobittacus australis,557714,49363,227
Pycnoscelus surinamensis,84635,84636,3164
Blaniulus guttulatus,133831,133832,283
Blasticotoma filiceti,856298,856577,3
Blastobasis adustella,336938,173093,667
Pseudomops septentrionalis,311163,1425419,1937
Periplaneta americana,82231,82232,10075
Blepharicera fasciata,627633,49361,2
Blepharipoda occidentalis,117663,193860,599
Ischnodemus sabuleti,510323,489050,398
Troglobisium racovitzai,465047,172599,3
Iphinoe canariensis,1367794,245429,1
Ernolatia moorei,211004,83861,309
Bombylius major,51557,51558,11906
Heterodoxus spiniger,493354,372962,2
Orthione griffenis,261265,119412,18
Boreus brumalis,207875,173350,205
Boros schneideri,717301,173346,66
Bosmina longirostris,203468,171264,34
Xylobiops basilaris,233843,47625,811
Bothrideres bipunctatus,625715,173345,44
Cercophonius squama,207971,207967,713
Bourletiella hortensis,386771,179535,95
Phycodes minor,509571,123028,130
Brachycentrus subnubilis,1005701,172761,76
Brachychaeteuma melanops,336957,336958,1
Brachypauropus hamiger,1389676,372963,1
Brachypsectra fulva,495151,495152,14
Brachyscelus rapacoides,260816,245479,1
Boreodromia bicolor,1470350,464956,11
Brachystomella parvula,296566,205710,2
Cotesia congregata,83916,63187,1022
Micatagla schultzei,1146618,55140,6
Brahmaea hearseyi,149006,179915,98
Branchinecta conservatio,96013,85645,20
Branchipus schaefferi,856252,85646,140
Branneria carinata,571007,571010,3
Braula coeca,510331,56882,2
Arrenodes minutus,1506398,61949,1333
Talitroides topitotum,260706,1128395,10
Bucculatrix coronatella,215501,173305,103
Fumontana deprehendor,172517,1150517,4
Buotus carolinus,215595,1205854,5
Agrilus planipennis,70057,54964,2603
Centruroides vittatus,119056,119058,5545
Cytilus sericeus,487447,130840,119
Bythocaris payeri,459544,849311,3
Bythograea thermydron,1068091,195227,1
Byturus ochraceus,130843,130844,273
Caddo agilis,481377,245374,87
Valenzuela flavidus,308612,245105,571
Caenis latipennis,215684,173246,7
Anisocentropus bicoloratus,556333,173239,125
Calanus finmarchicus,372502,201757,4
Calantica spinosa,1438747,346601,106
Calappa flammea,295259,121190,167
Lepeophtheirus salmonis,369806,321542,28
Caliothrips fasciatus,307191,1377519,1
Caliscelis bonellii,325773,173236,47
Neotrypaea californiensis,56659,56657,243
Callianopsis goniophthalma,260756,1066994,1
Corallianassa borradailei,121753,1067020,40
Tetragonus catamitus,121881,121883,319
Calliopius laeviusculus,549459,340881,18
Stylopallene cheilorhynchus,521658,245150,10
Lucilia sericata,128824,61860,4966
Callipus foetidissimus,919441,919443,15
Zenoa picea,322987,272574,241
Calophya schini,387008,326724,339
Calopteryx maculata,84481,47929,29701
Calyptostoma velutinus,1072587,372920,2
Cambala annulata,215926,155338,31
Glyphiulus formosus,820996,564234,10
Procambarus clarkii,51221,47782,7790
Cambaroides similis,85347,776747,86
Afrocamilla bispinosa,1322258,510152,2
Campichoeta punctum,1200277,981207,3
Lepidocampa weberi,1040292,56214,2
Paracleistostoma depressum,703318,342556,8
Campylonotus vagans,748499,630744,21
Tethinosoma fulvifrons,397970,203411,8
Cancer productus,47826,47828,5181
Bicornucandona fineganensis,784843,85655,1
Canestrinia dorcicola,1469410,246200,1
Canopus impressus,1043776,505572,3
Rhagonycha fulva,62456,52932,22423
Attheyella nordenskioldii,1075680,85656,4
Canthyloscelis antennata,387102,557989,9
Allocapnia vivipara,213008,172900,230
Nops quito,818372,245372,8
Caprella mutica,64634,47626,86
Cicindela sexguttata,49566,49567,21309
Caraboctonus keyserlingi,704746,119168,35
Carabodes femoralis,1138547,245066,1
Carcinus maenas,52523,773604,13782
Car pini,1375197,573565,1
Carnus hemapterus,943533,329801,1
Carpilius convexus,120923,49635,156
Coscinoptycha improbana,380078,173393,466
Protyora sterculiae,897366,330264,29
Carthaea saturnioides,874748,874746,5
Paysandisia archon,472794,199258,1060
Catomerus polymerus,569788,569789,85
Taphropiestes watti,410219,372970,2
Rabdophaga strobiloides,203866,55699,5108
Cecidoses eremita,1154622,199247,17
Cea pulicaris,1375766,1426981,2
Celyphus difficilis,543442,53924,16
Boeckella poppei,960501,85665,3
Raillietiella orientalis,1470222,865301,1
Calameuta filiformis,494327,143247,48
Tetraopes tetrophthalmus,118559,47961,19338
Ceratocombus coleoptratus,887462,372971,9
Orchopeas howardi,525247,245153,4
Stilobezzia coquilletti,294378,69803,8
Bythotrephes longimanus,199410,171272,19
Prosapia bicincta,126291,61863,8168
Cerococcus quercus,484382,372972,52
Ceroma leppanae,656358,628049,1
Cerophytum elateroides,1044466,47887,7
Philothermus glabriculus,227837,174498,26
Anuroctonus pococki,203844,130036,598
Chaerilus variegatus,656520,362376,14
Saduria entomon,555820,338426,83
Chaetodactylus krombeini,446781,429826,6
Chaetosoma colossa,387392,486524,7
Chalcedectus maculipennis,311210,1426983,2
Brachymeria podagrica,264880,121516,102
Chalcodrya variegata,387422,372974,12
Leucopis bellula,451415,203272,3
Chamaesoma brolemanni,1370031,982614,1
Chaoborus punctipennis,294394,129901,1512
Charinus pescotti,903876,329232,24
Charon grayi,707564,707566,18
Australocarcinus kanaka,902141,245509,2
Philanisus plebeius,395004,372976,57
Cheiracanthium mildei,61869,808367,1471
Telmessus cheiragonus,180391,180392,808
Cheiridium museorum,656880,172467,1
Chelifer cancroides,409775,245019,342
Chelisoches morio,208122,208121,167
Macellolophus rubromarginatus,1144888,83054,11
Chelojulus sculpturatus,1497675,424111,1
Chelonarium ornatum,790422,342445,75
Chelonibia testudinaria,261201,245417,262
Pselaphochernes scorpioides,554551,172612,8
Austrochiltonia subtenuis,710056,710053,2
Eubranchipus vernalis,122272,85684,74
Polypedilum braseniae,541520,53275,126
Chirostylus sandyi,324862,245424,5
Arorathrips mexicanus,330686,1377520,1
Heliocypha perforata,561361,85688,873
Chlorogomphus risi,562811,85689,18
Plumiperla diversa,228417,85690,9
Thaumatomyia glabra,133767,127593,200
Miropandalus hardingi,199623,1067005,40
Choctella cumminsi,514092,514093,87
Acanthochondria cornuta,371343,371345,1
Chordeuma proximum,336964,336973,2
Anthophila fabriciana,321979,67432,2879
Chorista australis,707725,707726,34
Erianthella formosana,710114,146921,223
Dystacta alticeps,471306,1097050,110
Chrysis angolensis,325772,126149,2004
Philomides frater,825292,1349202,1
Diabrotica undecimpunctata,55487,51146,25193
Chrysopa oculata,146945,52425,3651
Chthamalus dalli,129910,128745,332
Chthonius tetrachelatus,216895,172429,10
Picripleuroxus denticulatus,483919,85693,24
Typhoctes peculiaris,265618,554137,29
Chyromya femorella,900689,329822,7
Chyzeria novaezealandiae,387605,635493,2
Graphocephala coccinea,56925,53237,7569
Magicicada septendecim,105098,50186,6989
Octotemnus glabriculus,546312,82343,19
Cimbex americanus,1028452,53844,1427
Axia margarita,714432,319909,23
Cimex lectularius,69658,53667,384
Cirolana harfordi,67634,55803,99
Cithaeron praedonius,556721,416716,125
Melanoliarus aridus,504410,84074,706
