Melitta haemorrhoidalis,269
Melitta leporina,203
Melitta nigricans,187
Melitta tricincta,52
Melitturga clavicornis,66
Nomada agrestis,81
Nomada baccata,19
Nomada basalis,63
Nomada bifasciata,165
Nomada distinguenda,70
Nomada fabriciana,192
Nomada ferruginata,57
Nomada flava,138
Nomada flavoguttata,99
Nomada flavopicta,79
Nomada fucata,176
Nomada fulvicornis,39
Nomada goodeniana,405
Nomada lathburiana,204
Nomada leucophthalma,205
Nomada marshamella,136
Nomada nobilis,46
Nomada rufipes,63
Nomada sexfasciata,108
Nomada succincta,232
Nomada zonata,73
Nomioides facilis,79
Nomioides minutissimus,36
Osmia andrenoides,88
Osmia aurulenta,413
Osmia bicolor,342
Osmia bicornis,500
Osmia caerulescens,490
Osmia cornuta,593
Osmia latreillei,248
Osmia leaiana,99
Osmia niveata,216
Osmia rufohirta,93
Osmia spinulosa,194
Osmia submicans,210
Osmia tricornis,113
Panurgus banksianus,55
Panurgus calcaratus,162
Panurgus dentipes,59
Pasites maculatus,113
Pseudoanthidium nanum,420
Rhodanthidium infuscatum,63
Rhodanthidium septemdentatum,411
Rhodanthidium siculum,27
Rhodanthidium sticticum,375
Rophites quinquespinosus,7
Seladonia subaurata,151
Sphecodes albilabris,427
Stelis annulata,72
Stelis breviuscula,82
Stelis ornatula,43
Stelis punctulatissima,306
Stelis signata,172
Systropha curvicornis,129
Tetralonia malvae,257
Tetraloniella alticincta,115
Tetraloniella dentata,223
Tetraloniella salicariae,59
Tetraloniella strigata,70
Thyreus histrionicus,135
Thyreus orbatus,34
Thyreus ramosus,81
Trachusa byssina,183
Trachusa integra,63
Trachusa interrupta,257
Triepeolus tristis,113
Xylocopa cantabrita,162
Xylocopa iris,277
Xylocopa valga,315
Xylocopa violacea,1405
