class,order,family,genus,specie,taxon_id
Insecta,Diptera,Helcomyzidae,Helcomyza,Helcomyza ustulata,775651
Insecta,Coleoptera,Dryopidae,Helichus,Helichus lithophilus,221006
Insecta,Lepidoptera,Heliodinidae,Heliodines,Heliodines roesella,1047934
Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus angusticollis,221127
Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus brevipalpis,131103
Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus grandis,131106
Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus lacustris,221132
Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus linearis,221134
Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus lineatus,221135
Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus marginicollis,221136
Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus nanus,992585
Insecta,Hymenoptera,Heloridae,Helorus,Helorus anomalipes,853749
Chilopoda,Geophilomorpha,Geophilidae,Henia,Henia vesuviana,68721
Insecta,Ephemeroptera,Heptageniidae,Heptagenia,Heptagenia sulphurea,482035
Insecta,Hymenoptera,Heptamelidae,Heptamelus,Heptamelus ochroleucus,992619
Insecta,Coleoptera,Elmidae,Heterelmis,Heterelmis comalensis,221273
Insecta,Coleoptera,Heteroceridae,Heterocerus,Heterocerus fenestratus,733190
Arachnida,Pseudoscorpiones,Chernetidae,Heterochernes,Heterochernes novaezealandiae,390424
Ostracoda,Podocopida,Cyprididae,Heterocypris,Heterocypris incongruens,210271
Insecta,Hemiptera,Heterogastridae,Heterogaster,Heterogaster urticae,390463
Insecta,Lepidoptera,Heterogynidae,Heterogynis,Heterogynis canalensis,547494
Insecta,Lepidoptera,Heterogynidae,Heterogynis,Heterogynis penella,320875
Arachnida,Araneae,Oonopidae,Heteroonops,Heteroonops spinimanus,298035
Insecta,Trichoptera,Calamoceratidae,Heteroplectron,Heteroplectron americanum,221337
Insecta,Trichoptera,Calamoceratidae,Heteroplectron,Heteroplectron californicum,221338
Insecta,Hymenoptera,Heydeniidae,Heydenia,Heydenia pretiosa,957597
Insecta,Hemiptera,Nabidae,Himacerus,Himacerus mirmicoides,130127
Insecta,Trichoptera,Rhyacophilidae,Himalopsyche,Himalopsyche lua,709605
Chilopoda,Geophilomorpha,Himantariidae,Himantarium,Himantarium gabrielis,513922
Arachnida,Trombidiformes,Trombiculidae,Hirsutiella,Hirsutiella zachvatkini,1193199
Diplopoda,Polyzoniida,Hirudisomatidae,Hirudisoma,Hirudisoma latum,1497788
Insecta,Lepidoptera,Oecophoridae,Hofmannophila,Hofmannophila pseudospretella,129570
Arachnida,Araneae,Lycosidae,Hogna,Hogna radiata,326871
Insecta,Coleoptera,Histeridae,Hololepta,Hololepta plana,343748
Branchiopoda,Ctenopoda,Holopediidae,Holopedium,Holopedium gibberum,483820
Insecta,Coleoptera,Corylophidae,Holopsis,Holopsis marginicollis,203289
Arachnida,Opiliones,Cladonychiidae,Holoscotolemon,Holoscotolemon querilhaci,526493
Insecta,Hymenoptera,Encyrtidae,Homalotylus,Homalotylus flaminius,264987
Insecta,Hemiptera,Homotomidae,Homotoma,Homotoma ficus,474753
Insecta,Coleoptera,Hybosoridae,Hybosorus,Hybosorus illigeri,908673
Arachnida,Trombidiformes,Hydrachnidae,Hydrachna,Hydrachna geographica,491296
Insecta,Coleoptera,Hydraenidae,Hydraena,Hydraena marginicollis,855561
Insecta,Coleoptera,Hydraenidae,Hydraena,Hydraena testacea,978755
Insecta,Coleoptera,Hydrophilidae,Hydrobius,Hydrobius fuscipes,221612
Insecta,Coleoptera,Noteridae,Hydrocanthus,Hydrocanthus iricolor,221615
Insecta,Coleoptera,Hydrochidae,Hydrochus,Hydrochus brevis,992875
Insecta,Coleoptera,Hydrochidae,Hydrochus,Hydrochus callosus,894732
Insecta,Coleoptera,Hydrochidae,Hydrochus,Hydrochus crenatus,992874
Insecta,Coleoptera,Hydrochidae,Hydrochus,Hydrochus elongatus,978756
Insecta,Coleoptera,Hydrochidae,Hydrochus,Hydrochus ignicollis,992872
Insecta,Coleoptera,Hydrochidae,Hydrochus,Hydrochus jaechi,894736
Insecta,Coleoptera,Hydrochidae,Hydrochus,Hydrochus jiawanae,894737
Insecta,Coleoptera,Hydrochidae,Hydrochus,Hydrochus rugosus,887197
Insecta,Coleoptera,Hydrochidae,Hydrochus,Hydrochus schereri,894739
Insecta,Coleoptera,Hydrochidae,Hydrochus,Hydrochus vagus,1460503
Arachnida,Trombidiformes,Hydrodromidae,Hydrodroma,Hydrodroma despiciens,262582
Arachnida,Mesostigmata,Ologamasidae,Hydrogamasus,Hydrogamasus littoralis,1357748
Insecta,Hemiptera,Hydrometridae,Hydrometra,Hydrometra stagnorum,327185
Insecta,Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche aerata,221694
Insecta,Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche exocellata,1115664
Insecta,Coleoptera,Hydroscaphidae,Hydroscapha,Hydroscapha granulum,1231348
Insecta,Coleoptera,Hygrobiidae,Hygrobia,Hygrobia hermanni,547330
Entognatha,Poduromorpha,Hypogastruridae,Hypogastrura,Hypogastrura harveyi,489436
Entognatha,Poduromorpha,Hypogastruridae,Hypogastrura,Hypogastrura manubrialis,261702
Entognatha,Poduromorpha,Hypogastruridae,Hypogastrura,Hypogastrura nivicola,125613
Entognatha,Poduromorpha,Hypogastruridae,Hypogastrura,Hypogastrura viatica,207917
Insecta,Hymenoptera,Ibaliidae,Ibalia,Ibalia anceps,470470
Insecta,Hymenoptera,Ibaliidae,Ibalia,Ibalia leucospoides,209083
Insecta,Hemiptera,Monophlebidae,Icerya,Icerya purchasi,60921
Insecta,Hemiptera,Naucoridae,Ilyocoris,Ilyocoris cimicoides,358327
Branchiopoda,Anomopoda,Ilyocryptidae,Ilyocryptus,Ilyocryptus sordidus,338149
Branchiopoda,Spinicaudata,Limnadiidae,Imnadia,Imnadia yeyetta,1076475
Insecta,Lepidoptera,Incurvariidae,Incurvaria,Incurvaria masculella,205344
Insecta,Lepidoptera,Meessiidae,Infurcitinea,Infurcitinea atrifasciella,468456
Arachnida,Mesostigmata,Eviphididae,Iphidosoma,Iphidosoma fimetarium,1045716
Insecta,Mantodea,Eremiaphilidae,Iris,Iris oratoria,67437
Insecta,Hemiptera,Blissidae,Ischnodemus,Ischnodemus sabuleti,510323
Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura elegans,61508
Arachnida,Opiliones,Ischyropsalididae,Ischyropsalis,Ischyropsalis luteipes,525948
Insecta,Hymenoptera,Ismaridae,Ismarus,Ismarus dorsiger,1368621
Insecta,Neuroptera,Berothidae,Isoscelipteron,Isoscelipteron glaserellum,557605
Insecta,Hemiptera,Issidae,Issus,Issus coleoptratus,141761
Arachnida,Ixodida,Ixodidae,Ixodes,Ixodes ricinus,51671
Entognatha,Poduromorpha,Onychiuridae,Kalaphorura,Kalaphorura burmeisteri,980857
Insecta,Blattodea,Kalotermitidae,Kalotermes,Kalotermes flavicollis,245870
Insecta,Hemiptera,Kermesidae,Kermes,Kermes roboris,737435
Insecta,Hemiptera,Lygaeidae,Kleidocerys,Kleidocerys resedae,261586
Branchiopoda,Anomopoda,Chydoridae,Kurzia,Kurzia latissima,157421
Branchiopoda,Anomopoda,Chydoridae,Kurzia,Kurzia polyspina,157418
Insecta,Coleoptera,Ptiliidae,Kuschelidium,Kuschelidium maori,391243
Insecta,Dermaptera,Labiduridae,Labidura,Labidura riparia,307026
Insecta,Psocodea,Lachesillidae,Lachesilla,Lachesilla nubilis,270878
Insecta,Psocodea,Lachesillidae,Lachesilla,Lachesilla pedicularia,270880
Insecta,Psocodea,Lachesillidae,Lachesilla,Lachesilla rena,270886
Insecta,Hymenoptera,Bethylidae,Laelius,Laelius pedatus,266302
Insecta,Coleoptera,Tenebrionidae,Lagria,Lagria hirta,324093
Insecta,Hymenoptera,Megaspilidae,Lagynodes,Lagynodes pallidus,1082188
Arachnida,Pseudoscorpiones,Chernetidae,Lamprochernes,Lamprochernes nodosus,205342
Insecta,Diptera,Vermileonidae,Lampromyia,Lampromyia funebris,465722
Insecta,Diptera,Vermileonidae,Lampromyia,Lampromyia iberica,625252
Insecta,Lepidoptera,Prodoxidae,Lampronia,Lampronia rupella,548965
Insecta,Coleoptera,Lampyridae,Lampyris,Lampyris noctiluca,143617
Insecta,Coleoptera,Ptinidae,Lasioderma,Lasioderma serricorne,47493
Insecta,Hymenoptera,Formicidae,Lasius,Lasius fuliginosus,124150
Branchiopoda,Anomopoda,Macrothricidae,Lathonura,Lathonura rectirostris,1110969
Insecta,Diptera,Mycetophilidae,Leia,Leia varia,367226
Arachnida,Opiliones,Sclerosomatidae,Leiobunum,Leiobunum rotundum,154449
Insecta,Lepidoptera,Brahmaeidae,Lemonia,Lemonia dumi,578767
Insecta,Hemiptera,Diaspididae,Lepidosaphes,Lepidosaphes ulmi,391478
Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,Lepidostoma hirtum,208049
Insecta,Zygentoma,Lepismatidae,Lepisma,Lepisma chlorosoma,1158040
Branchiopoda,Spinicaudata,Leptestheriidae,Leptestheria,Leptestheria compleximanus,223406
Branchiopoda,Spinicaudata,Leptestheriidae,Leptestheria,Leptestheria dahalacensis,1078078
Branchiopoda,Haplopoda,Leptodoridae,Leptodora,Leptodora kindtii,1019939
Insecta,Diptera,Milichiidae,Leptometopa,Leptometopa latipes,672699
Insecta,Siphonaptera,Leptopsyllidae,Leptopsylla,Leptopsylla segnis,307814
Insecta,Hemiptera,Leptopodidae,Leptopus,Leptopus marmoratus,521452
Hexanauplia,Cyclopoida,Lernaeidae,Lernaea,Lernaea cyprinacea,739842
Insecta,Hymenoptera,Leucospidae,Leucospis,Leucospis dorsigera,466441
Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra alpina,498586
Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra berthelemyi,531604
Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra fusca,498591
Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra geniculata,482069
Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra hippopus,498597
Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra inermis,498592
Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra nigra,1371386
Insecta,Odonata,Libellulidae,Libellula,Libellula quadrimaculata,57443
Insecta,Hemiptera,Coccidae,Lichtensia,Lichtensia viburni,636852
Malacostraca,Isopoda,Ligiidae,Ligia,Ligia oceanica,55356
Branchiopoda,Spinicaudata,Limnadiidae,Limnadia,Limnadia lenticularis,223679
Insecta,Lepidoptera,Cosmopterigidae,Limnaecia,Limnaecia phragmitella,223680
Arachnida,Trombidiformes,Limnocharidae,Limnochares,Limnochares americana,297249
Arachnida,Trombidiformes,Limnocharidae,Limnochares,Limnochares aquatica,997134
Arachnida,Araneae,Liocranidae,Liocranum,Liocranum rupicola,468117
Insecta,Diptera,Cylindrotomidae,Liogma,Liogma nodicornis,1045423
Arachnida,Araneae,Phrurolithidae,Liophrurillus,Liophrurillus flavitarsis,559311
Insecta,Psocodea,Philopteridae,Lipeurus,Lipeurus caponis,330643
Insecta,Diptera,Hippoboscidae,Lipoptena,Lipoptena cervi,130393
Insecta,Psocodea,Liposcelididae,Liposcelis,Liposcelis bostrychophila,270921
Insecta,Psocodea,Liposcelididae,Liposcelis,Liposcelis meridionalis,1337953
Malacostraca,Isopoda,Asellidae,Lirceolus,Lirceolus pilus,171768
Chilopoda,Lithobiomorpha,Lithobiidae,Lithobius,Lithobius forficatus,122234
Insecta,Hymenoptera,Mymaridae,Litus,Litus cynipseus,1423033
Insecta,Hemiptera,Liviidae,Livia,Livia junci,207530
Insecta,Psocodea,Pseudocaeciliidae,Lobocaecilius,Lobocaecilius monicus,410687
Insecta,Coleoptera,Prionoceridae,Lobonyx,Lobonyx aeneus,470093
Insecta,Neuroptera,Berothidae,Lomamyia,Lomamyia flavicornis,224097
Insecta,Diptera,Lonchopteridae,Lonchoptera,Lonchoptera bifurcata,203415
Diplopoda,Polyxenida,Lophoproctidae,Lophoproctus,Lophoproctus lucidus,1351725
Insecta,Hemiptera,Microphysidae,Loricula,Loricula elegantula,451684
Insecta,Diptera,Sphaeroceridae,Lotophila,Lotophila atra,922447
Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles rufescens,151792
Insecta,Coleoptera,Lucanidae,Lucanus,Lucanus cervus,61749
Insecta,Diptera,Calliphoridae,Lucilia,Lucilia sericata,128824
Insecta,Hemiptera,Lyctocoridae,Lyctocoris,Lyctocoris campestris,410306
Insecta,Hemiptera,Lyctocoridae,Lyctocoris,Lyctocoris dimidiatus,887504
Insecta,Coleoptera,Lycidae,Lygistopterus,Lygistopterus sanguineus,501467
Insecta,Lepidoptera,Erebidae,Lymantria,Lymantria dispar,47802
Insecta,Coleoptera,Lymexylidae,Lymexylon,Lymexylon navale,500403
Branchiopoda,Laevicaudata,Lynceidae,Lynceus,Lynceus brachyurus,122267
Insecta,Lepidoptera,Lyonetiidae,Lyonetia,Lyonetia clerkella,207527
Insecta,Archaeognatha,Meinertellidae,Machilinus,Machilinus rupestris,903515
Insecta,Archaeognatha,Meinertellidae,Machiloides,Machiloides banksi,372650
Insecta,Diptera,Keroplatidae,Macrocera,Macrocera phalerata,712462
Arachnida,Mesostigmata,Macrochelidae,Macrocheles,Macrocheles muscaedomesticae,263399
Hexanauplia,Cyclopoida,Cyclopidae,Macrocyclops,Macrocyclops albidus,334846
Insecta,Lepidoptera,Sphingidae,Macroglossum,Macroglossum stellatarum,56293
Insecta,Odonata,Macromiidae,Macromia,Macromia splendens,105048
Insecta,Coleoptera,Elmidae,Macronychus,Macronychus glabratus,224313
Insecta,Coleoptera,Elmidae,Macronychus,Macronychus quadrituberculatus,504160
Branchiopoda,Anomopoda,Macrothricidae,Macrothrix,Macrothrix hirsuticornis,483852
Branchiopoda,Anomopoda,Macrothricidae,Macrothrix,Macrothrix laticornis,483851
Insecta,Lepidoptera,Lasiocampidae,Macrothylacia,Macrothylacia rubi,127506
Insecta,Hymenoptera,Xyelidae,Macroxyela,Macroxyela ferruginea,849787
Insecta,Diptera,Milichiidae,Madiza,Madiza glabra,1122100
Insecta,Coleoptera,Melyridae,Malachius,Malachius bipustulatus,326491
Insecta,Hymenoptera,Scelionidae,Mantibaria,Mantibaria seefelderiana,625964
Insecta,Mantodea,Mantidae,Mantis,Mantis religiosa,53905
Insecta,Neuroptera,Mantispidae,Mantispa,Mantispa styriaca,338651
Insecta,Diptera,Helcomyzidae,Maorimyia,Maorimyia bipunctata,409964
Hexanauplia,Harpacticoida,Canthocamptidae,Maraenobiotus,Maraenobiotus supermario,1154321
Insecta,Hemiptera,Marchalinidae,Marchalina,Marchalina hellenica,447672
Insecta,Coleoptera,Megalopodidae,Mastostethus,Mastostethus novemmaculatus,272117
Insecta,Hymenoptera,Megalodontesidae,Megalodontes,Megalodontes cephalotes,337733
Malacostraca,Amphipoda,Talitridae,Megalorchestia,Megalorchestia californiana,63287
Entognatha,Neelipleona,Neelidae,Megalothorax,Megalothorax minimus,203388
Insecta,Diptera,Megamerinidae,Megamerina,Megamerina dolium,511381
Insecta,Diptera,Phoridae,Megaselia,Megaselia rufipes,392352
Insecta,Diptera,Phoridae,Megaselia,Megaselia scalaris,329926
Insecta,Hymenoptera,Megastigmidae,Megastigmus,Megastigmus aculeatus,319502
Insecta,Hymenoptera,Megastigmidae,Megastigmus,Megastigmus pistaciae,1083558
Insecta,Hymenoptera,Xyelidae,Megaxyela,Megaxyela pulchra,748310
Insecta,Hemiptera,Ochteridae,Megochterus,Megochterus nasutus,623363
Insecta,Diptera,Rhinophoridae,Melanophora,Melanophora roralis,342608
Insecta,Thysanoptera,Melanthripidae,Melanthrips,Melanthrips fuscus,917202
Insecta,Coleoptera,Eucnemidae,Melasis,Melasis buprestoides,709180
Insecta,Coleoptera,Meloidae,Meloe,Meloe proscarabaeus,82109
Insecta,Psocodea,Pseudocaeciliidae,Mepleres,Mepleres watti,332395
Insecta,Hymenoptera,Thynnidae,Meria,Meria tripunctata,465445
Insecta,Hemiptera,Hebridae,Merragata,Merragata hebroides,244466
Insecta,Diptera,Muscidae,Mesembrina,Mesembrina meridiana,333502
Hexanauplia,Cyclopoida,Cyclopidae,Mesocyclops,Mesocyclops edax,203387
Insecta,Hymenoptera,Pteromalidae,Mesopolobus,Mesopolobus tibialis,558690
Insecta,Psocodea,Mesopsocidae,Mesopsocus,Mesopsocus fuscifrons,1308091
Hexanauplia,Harpacticoida,Canthocamptidae,Mesopsyllus,Mesopsyllus glacialis,1234466
Insecta,Hemiptera,Mesoveliidae,Mesovelia,Mesovelia furcata,949036
Insecta,Hymenoptera,Encyrtidae,Metaphycus,Metaphycus maculipennis,299903
Insecta,Hemiptera,Berytidae,Metatropis,Metatropis rufescens,451781
Arachnida,Araneae,Tetragnathidae,Metellina,Metellina merianae,437909
Insecta,Coleoptera,Ripiphoridae,Metoecus,Metoecus paradoxus,131825
Insecta,Psocodea,Psocidae,Metylophorus,Metylophorus nebulosus,210299
Insecta,Lepidoptera,Gelechiidae,Metzneria,Metzneria lappella,118556
Insecta,Coleoptera,Scirtidae,Microcara,Microcara testacea,549960
Arachnida,Araneae,Mysmenidae,Microdipoena,Microdipoena guttata,225114
Arachnida,Araneae,Mysmenidae,Microdipoena,Microdipoena jobi,789022
Arachnida,Araneae,Mysmenidae,Microdipoena,Microdipoena ogatai,821922
Arachnida,Araneae,Sparassidae,Micrommata,Micrommata virescens,121766
Insecta,Neuroptera,Hemerobiidae,Micromus,Micromus variegatus,364111
Insecta,Hemiptera,Micronectidae,Micronecta,Micronecta ludibunda,902200
Insecta,Hemiptera,Micronectidae,Micronecta,Micronecta scholtzi,123942
Insecta,Diptera,Micropezidae,Micropeza,Micropeza corrigiolata,486982
Insecta,Coleoptera,Anamorphidae,Micropsephodes,Micropsephodes lundgreni,1298759
Insecta,Lepidoptera,Micropterigidae,Micropterix,Micropterix calthella,344870
Insecta,Hemiptera,Veliidae,Microvelia,Microvelia reticulata,886234
Insecta,Diptera,Cecidomyiidae,Mikiola,Mikiola fagi,244644
Insecta,Diptera,Milichiidae,Milichia,Milichia canariensis,1154852
Insecta,Diptera,Milichiidae,Milichia,Milichia speciosa,462166
Insecta,Lepidoptera,Millieriidae,Millieria,Millieria dolosalis,875806
Insecta,Diptera,Lauxaniidae,Minettia,Minettia longipennis,356403
Arachnida,Pseudoscorpiones,Chernetidae,Mirochernes,Mirochernes dentatus,555542
Arachnida,Araneae,Thomisidae,Misumena,Misumena vatia,55746
Branchiopoda,Anomopoda,Moinidae,Moina,Moina brachiata,483836
Insecta,Trichoptera,Molannidae,Molanna,Molanna angustata,520746
Insecta,Trichoptera,Molannidae,Molanna,Molanna flavicornis,225194
Insecta,Trichoptera,Molannidae,Molanna,Molanna moesta,1261123
Insecta,Trichoptera,Molannidae,Molannodes,Molannodes tinctus,225198
Insecta,Lepidoptera,Momphidae,Mompha,Mompha subbistrigella,320101
Insecta,Hymenoptera,Torymidae,Monodontomerus,Monodontomerus obscurus,962054
Insecta,Hymenoptera,Torymidae,Monodontomerus,Monodontomerus thorpi,335718
Insecta,Lepidoptera,Tineidae,Monopis,Monopis crocicapitella,225223
Hexanauplia,Harpacticoida,Canthocamptidae,Moraria,Moraria duthiei,1075683
Insecta,Coleoptera,Mordellidae,Mordellochroa,Mordellochroa abdominalis,496687
Insecta,Diptera,Anthomyzidae,Mumetopia,Mumetopia occipitalis,329766
Insecta,Hymenoptera,Mutillidae,Mutilla,Mutilla europaea,555495
Insecta,Coleoptera,Mycetaeidae,Mycetaea,Mycetaea subterranea,225311
Insecta,Diptera,Piophilidae,Mycetaulus,Mycetaulus bipunctatus,371928
Insecta,Coleoptera,Mycetophagidae,Mycetophagus,Mycetophagus quadripustulatus,712159
Insecta,Diptera,Mycetophilidae,Mycetophila,Mycetophila fagi,380317
Insecta,Diptera,Mycetophilidae,Mycetophila,Mycetophila filicornis,380316
Insecta,Coleoptera,Mycteridae,Mycterus,Mycterus curculioides,470347
Insecta,Psocodea,Myopsocidae,Myopsocus,Myopsocus eatoni,425406
Insecta,Orthoptera,Myrmecophilidae,Myrmecophilus,Myrmecophilus acervorum,48612
Insecta,Hymenoptera,Myrmosidae,Myrmosa,Myrmosa atra,127810
Insecta,Psocodea,Menoponidae,Myrsidea,Myrsidea cornicis,1483510
Insecta,Psocodea,Menoponidae,Myrsidea,Myrsidea ivanliteraki,498518
Arachnida,Araneae,Mysmenidae,Mysmena,Mysmena leucoplagiata,786709
Insecta,Trichoptera,Leptoceridae,Mystacides,Mystacides longicornis,326757
Insecta,Hymenoptera,Thynnidae,Myzinum,Myzinum carolinianum,136434
Diplopoda,Chordeumatida,Craspedosomatidae,Nanogona,Nanogona polydesmoides,336978
Insecta,Hemiptera,Kermesidae,Nanokermes,Nanokermes pubescens,119268
Insecta,Hymenoptera,Pteromalidae,Nasonia,Nasonia vitripennis,125446
Insecta,Hemiptera,Tropiduchidae,Neaethus,Neaethus maculatus,317546
Insecta,Hemiptera,Tropiduchidae,Neaethus,Neaethus similis,317544
Insecta,Coleoptera,Agyrtidae,Necrophilus,Necrophilus hydrophiloides,176866
Entognatha,Neelipleona,Neelidae,Neelus,Neelus murinus,261683
Diplopoda,Julida,Nemasomatidae,Nemasoma,Nemasoma varicorne,337012
Arachnida,Opiliones,Nemastomatidae,Nemastoma,Nemastoma bimaculatum,451367
Arachnida,Araneae,Nemesiidae,Nemesia,Nemesia simoni,786720
Insecta,Orthoptera,Trigonidiidae,Nemobius,Nemobius sylvestris,362296
Insecta,Diptera,Sepsidae,Nemopoda,Nemopoda nitidula,70137
Insecta,Neuroptera,Nemopteridae,Nemoptera,Nemoptera bipennis,343354
Insecta,Plecoptera,Nemouridae,Nemurella,Nemurella pictetii,460535
Arachnida,Pseudoscorpiones,Neobisiidae,Neobisium,Neobisium carcinoides,490815
Insecta,Coleoptera,Ochodaeidae,Neochodaeus,Neochodaeus frontalis,301788
Insecta,Coleoptera,Ochodaeidae,Neochodaeus,Neochodaeus praesidii,267211
Insecta,Neuroptera,Coniopterygidae,Neoconis,Neoconis marginata,307994
Insecta,Hymenoptera,Encyrtidae,Neodusmetia,Neodusmetia sangwani,264756
Insecta,Lepidoptera,Heliodinidae,Neoheliodines,Neoheliodines cliffordi,82518
Arachnida,Trombidiformes,Bdellidae,Neomolgus,Neomolgus littoralis,120956
Entognatha,Poduromorpha,Tullbergiidae,Neonaphorura,Neonaphorura duboscqi,1010289
Insecta,Hemiptera,Nepidae,Nepa,Nepa cinerea,133020
Insecta,Diptera,Pipunculidae,Nephrocerus,Nephrocerus scutellatus,1028702
Arachnida,Araneae,Linyphiidae,Neriene,Neriene radiata,225815
Insecta,Diptera,Ditomyiidae,Nervijuncta,Nervijuncta wakefieldi,393326
Arachnida,Araneae,Nesticidae,Nesticus,Nesticus cellulanus,225916
Insecta,Hymenoptera,Diparidae,Netomocera,Netomocera meridionalis,1458310
Insecta,Trichoptera,Polycentropodidae,Neureclipsis,Neureclipsis bimaculata,225935
Insecta,Hymenoptera,Diapriidae,Neurogalesus,Neurogalesus carinatus,429847
Insecta,Hymenoptera,Pamphiliidae,Neurotoma,Neurotoma saltuum,734712
Insecta,Lepidoptera,Brachodidae,Nigilgia,Nigilgia anactis,124127
Arachnida,Araneae,Dictynidae,Nigma,Nigma walckenaeri,84521
Insecta,Diptera,Ceratopogonidae,Nilobezzia,Nilobezzia schwarzii,259330
Malacostraca,Amphipoda,Niphargidae,Niphargus,Niphargus vandeli,1504781
Insecta,Lepidoptera,Noctuidae,Noctua,Noctua pronuba,81687
Insecta,Coleoptera,Nosodendridae,Nosodendron,Nosodendron fasciculare,1045626
Insecta,Coleoptera,Nosodendridae,Nosodendron,Nosodendron unicolor,225998
Insecta,Coleoptera,Noteridae,Noterus,Noterus clavicornis,547326
Insecta,Diptera,Dixidae,Nothodixa,Nothodixa philpotti,393462
Insecta,Hemiptera,Notonectidae,Notonecta,Notonecta glauca,56554
Insecta,Coleoptera,Sphindidae,Notosphindus,Notosphindus slateri,1027107
Insecta,Coleoptera,Anthicidae,Notoxus,Notoxus monoceros,131885
Arachnida,Araneae,Titanoecidae,Nurscia,Nurscia albomaculata,557066
Insecta,Diptera,Sarcophagidae,Nyctia,Nyctia halterata,326632
Insecta,Lepidoptera,Hesperiidae,Ochlodes,Ochlodes sylvanus,61781
Insecta,Coleoptera,Ochodaeidae,Ochodaeus,Ochodaeus chrysomeloides,1086497
Insecta,Hemiptera,Ochteridae,Ochterus,Ochterus banksi,430403
Insecta,Hemiptera,Ochteridae,Ochterus,Ochterus marginatus,469904
Insecta,Hemiptera,Ochteridae,Ochterus,Ochterus perbosci,1429549
Insecta,Coleoptera,Hydraenidae,Ochthebius,Ochthebius minimus,1004071
Diplopoda,Polyzoniida,Hirudisomatidae,Octoglena,Octoglena bivirgatum,154910
Insecta,Coleoptera,Ciidae,Octotemnus,Octotemnus glabriculus,546312
Insecta,Hemiptera,Ochteridae,Ocyochterus,Ocyochterus victor,1396615
Insecta,Coleoptera,Staphylinidae,Ocypus,Ocypus olens,53869
Insecta,Diptera,Odiniidae,Odinia,Odinia meijerei,1200550
Insecta,Trichoptera,Odontoceridae,Odontocerum,Odontocerum albicorne,416811
Insecta,Coleoptera,Sphindidae,Odontosphindus,Odontosphindus denticollis,226212
Insecta,Orthoptera,Oecanthidae,Oecanthus,Oecanthus pellucens,332307
Arachnida,Araneae,Oecobiidae,Oecobius,Oecobius navus,226250
Insecta,Coleoptera,Oedemeridae,Oedemera,Oedemera nobilis,61844
Insecta,Lepidoptera,Autostichidae,Oegoconia,Oegoconia novimundi,321374
Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,203469
Insecta,Coleoptera,Phalacridae,Olibrus,Olibrus aeneus,132032
Insecta,Coleoptera,Phalacridae,Olibrus,Olibrus affinis,131891
Insecta,Coleoptera,Phalacridae,Olibrus,Olibrus bicolor,606942
Insecta,Ephemeroptera,Oligoneuriidae,Oligoneuriella,Oligoneuriella rhenana,570735
Insecta,Trichoptera,Phryganeidae,Oligotricha,Oligotricha striata,454883
Insecta,Hemiptera,Kermesidae,Olliffiella,Olliffiella cristicola,768215
Arachnida,Pseudoscorpiones,Olpiidae,Olpium,Olpium pallipes,917014
Insecta,Coleoptera,Omalisidae,Omalisus,Omalisus fontisbellaquei,548785
Diplopoda,Julida,Julidae,Ommatoiulus,Ommatoiulus sabulosus,205191
Insecta,Coleoptera,Rhysodidae,Omoglymmius,Omoglymmius americanus,226379
Malacostraca,Isopoda,Oniscidae,Oniscus,Oniscus asellus,48284
Insecta,Odonata,Gomphidae,Onychogomphus,Onychogomphus forcipatus,132663
Insecta,Hymenoptera,Ooderidae,Oodera,Oodera formosa,1076527
Arachnida,Araneae,Oonopidae,Oonops,Oonops domesticus,416684
Arachnida,Araneae,Oonopidae,Oonops,Oonops pulcher,318913
Insecta,Diptera,Opetiidae,Opetia,Opetia nigra,625523
Diplopoda,Polydesmida,Macrosternodesmidae,Ophiodesmus,Ophiodesmus albonanus,336993
Insecta,Hymenoptera,Eucharitidae,Orasema,Orasema tolteca,299078
Entognatha,Entomobryomorpha,Entomobryidae,Orchesella,Orchesella cincta,132308
Insecta,Coleoptera,Gyrinidae,Orectochilus,Orectochilus villosus,483641
Diplopoda,Julida,Nemasomatidae,Orinisobates,Orinisobates expressus,154927
Diplopoda,Julida,Nemasomatidae,Orinisobates,Orinisobates sibiricus,1435741
Insecta,Hymenoptera,Ormyridae,Ormyrus,Ormyrus nitidula,451471
Insecta,Hymenoptera,Ormyridae,Ormyrus,Ormyrus pomaceus,964650
