name
Rhodanthidium infuscatum
Rhodanthidium septemdentatum
Rhodanthidium siculum
Rhodanthidium sticticum
Rophites quinquespinosus
Seladonia subaurata
Sphecodes albilabris
Stelis annulata
Stelis breviuscula
Stelis ornatula
Stelis punctulatissima
Stelis signata
Systropha curvicornis
Tetralonia malvae
Tetraloniella alticincta
Tetraloniella dentata
Tetraloniella salicariae
Tetraloniella strigata
Thyreus histrionicus
Thyreus orbatus
Thyreus ramosus
Trachusa byssina
Trachusa integra
Trachusa interrupta
Triepeolus tristis
Xylocopa cantabrita
Xylocopa iris
Xylocopa valga
Xylocopa violacea
