name,taxon_id,family,count
Aceria tristriata,776436,55584,62
Aceria tuberculata,886321,55584,2
Aceria tulipae,384907,55584,1
Aceria ulmi,1093877,55584,1
Aceria varia,903454,55584,15
Aceria vitalbae,1110844,55584,1
Acericecis campestre,938503,55699,4
,,55699,0
Acericerus heydenii,638607,53237,105
Acericerus ribauti,624490,53237,181
Acericerus vittifrons,624492,53237,19
,,69778,0
Acetropis carinata,132326,53505,14
,,53505,0
Acetropis gimmerthalii,132324,53505,14
,,47371,0
Achaius oratorius,703316,47199,29
,,69778,0
,,68020,0
,,68020,0
,,68020,0
,,68020,0
,,68020,0
Achanthiptera rohrelliformis,606620,70144,13
,,47951,0
Achenium depressum,244711,47951,9
,,47951,0
,,47951,0
,,47951,0
,,47951,0
,,982540,0
,,982540,0
Acherontia atropos,56530,47213,2150
,,125614,0
Acheta domesticus,133220,52884,395
,,372930,0
,,372930,0
Achlya flavicornis,483271,84430,476
,,123608,0
Achroia grisella,362715,49683,261
,,85012,0
,,171327,0
Achyra nudalis,371398,52002,861
Achyrolimonia decemmaculata,1048608,47992,3
Achyrolimonia neonebulosa,1087740,47992,1
Acidia cognata,468649,47990,140
Acidota crenata,172699,47951,42
Acidota cruentata,172700,47951,20
Acilius canaliculatus,547304,57659,159
,,57659,0
Acilius sulcatus,130410,57659,591
,,47990,0
Acinia corniculata,607673,47990,26
Acinopus megacephalus,715579,49567,15
Acinopus picipes,715581,49567,27
Aciura coryli,326586,47990,40
,,47199,0
,,47199,0
,,47199,0
,,47199,0
,,47199,0
,,715480,0
,,715480,0
,,715480,0
Acleris abietana,527045,47155,37
Acleris aspersana,460515,47155,40
Acleris bergmanniana,174133,47155,100
Acleris comariana,384863,47155,4
Acleris cristana,372383,47155,211
Acleris emargana,212332,47155,62
Acleris ferrugana,417042,47155,8
,,47155,0
Acleris forsskaleana,342688,47155,1781
Acleris hastiana,258456,47155,115
,,47155,0
,,47155,0
Acleris holmiana,324577,47155,151
Acleris hyemana,567533,47155,13
Acleris kochiella,527047,47155,10
Acleris lacordairana,712521,47155,8
Acleris laterana,324764,47155,249
Acleris lipsiana,527048,47155,41
Acleris literana,527049,47155,57
Acleris logiana,212338,47155,138
,,47155,0
Acleris lorquiniana,527051,47155,7
Acleris maccana,212339,47155,238
Acleris notana,212346,47155,9
Acleris permutana,527052,47155,1
Acleris quercinana,876062,47155,6
Acleris rhombana,470641,47155,296
Acleris roscidana,802525,47155,5
Acleris rufana,527053,47155,14
,,47155,0
Acleris schalleriana,212350,47155,11
,,47155,0
Acleris shepherdana,527054,47155,3
Acleris sparsana,371718,47155,206
Acleris umbrana,527055,47155,56
Acleris variegana,212354,47155,1221
Acletoxenus formosus,1087403,67742,9
,,203213,0
,,203213,0
,,203213,0
,,203213,0
,,203213,0
,,203213,0
Aclypea opaca,69799,53849,44
Aclypea souverbii,1040181,53849,6
Aclypea undata,493720,53849,13
Acmaeodera bipunctata,715372,54964,17
Acmaeodera cylindrica,470285,54964,77
Acmaeodera degener,467096,54964,33
Acmaeodera pilosellae,498024,54964,67
Acmaeodera quadrifasciata,524884,54964,19
Acmaeoderella adspersula,470026,54964,78
,,54964,0
,,54964,0
Acmaeoderella discoida,1147310,54964,12
Acmaeoderella flavofasciata,327605,54964,115
Acmaeoderella lanuginosa,901951,54964,17
,,54964,0
