name,taxon_id,ancestry,family
Acalles camelus,987009,48460/1/47120/372739/47158/184884/47208/71130/372852/60473/48736/373406/373680/468157/172653,48736
Acalles dubius,886235,48460/1/47120/372739/47158/184884/47208/71130/372852/60473/48736/373406/373680/468157/172653,48736
Acalles echinatus,987010,48460/1/47120/372739/47158/184884/47208/71130/372852/60473/48736/373406/373680/468157/172653,48736
Acalles fallax,1085243,48460/1/47120/372739/47158/184884/47208/71130/372852/60473/48736/373406/373680/468157/172653,48736
Acalles lemur,1085240,48460/1/47120/372739/47158/184884/47208/71130/372852/60473/48736/373406/373680/468157/172653,48736
Acalles misellus,1047812,48460/1/47120/372739/47158/184884/47208/71130/372852/60473/48736/373406/373680/468157/172653,48736
Acalles parvulus,1085241,48460/1/47120/372739/47158/184884/47208/71130/372852/60473/48736/373406/373680/468157/172653,48736
Acalles ptinoides,547782,48460/1/47120/372739/47158/184884/47208/71130/372852/60473/48736/373406/373680/468157/172653,48736
Acallocrates denticollis,1085238,48460/1/47120/372739/47158/184884/47208/71130/372852/60473/48736/373406/373680/468157/926880,48736
Acalypta brunnea,887760,48460/1/47120/372739/47158/184884/47744/61267/372850/53504/53506/630976/630977/130113,53506
Acalypta carinata,883619,48460/1/47120/372739/47158/184884/47744/61267/372850/53504/53506/630976/630977/130113,53506
Acalypta finitima,1492031,48460/1/47120/372739/47158/184884/47744/61267/372850/53504/53506/630976/630977/130113,53506
Acalypta gracilis,624554,48460/1/47120/372739/47158/184884/47744/61267/372850/53504/53506/630976/630977/130113,53506
Acalypta hellenica,887761,48460/1/47120/372739/47158/184884/47744/61267/372850/53504/53506/630976/630977/130113,53506
Acalypta marginata,705207,48460/1/47120/372739/47158/184884/47744/61267/372850/53504/53506/630976/630977/130113,53506
Acalypta musci,887762,48460/1/47120/372739/47158/184884/47744/61267/372850/53504/53506/630976/630977/130113,53506
Acalypta nigrina,887763,48460/1/47120/372739/47158/184884/47744/61267/372850/53504/53506/630976/630977/130113,53506
Acalypta nigrinervis,1491833,48460/1/47120/372739/47158/184884/47744/61267/372850/53504/53506/630976/630977/130113,53506
Acalypta parvula,130112,48460/1/47120/372739/47158/184884/47744/61267/372850/53504/53506/630976/630977/130113,53506
Acalypta platycheila,923710,48460/1/47120/372739/47158/184884/47744/61267/372850/53504/53506/630976/630977/130113,53506
Acalypta suturalis,1491834,48460/1/47120/372739/47158/184884/47744/61267/372850/53504/53506/630976/630977/130113,53506
Acalypta visolensis,1492032,48460/1/47120/372739/47158/184884/47744/61267/372850/53504/53506/630976/630977/130113,53506
Acalyptris minimella,959254,48460/1/47120/372739/47158/184884/47157/176535/85925/477578/1393792,85925
Acalyptris pyrenaica,1321935,48460/1/47120/372739/47158/184884/47157/176535/85925/477578/1393787,85925
Acalyptus carpini,212204,48460/1/47120/372739/47158/184884/47208/71130/372852/60473/48736/373408/542810/172666,48736
Acalyptus sericeus,987011,48460/1/47120/372739/47158/184884/47208/71130/372852/60473/48736/373408/542810/172666,48736
Acanosema nervosum,480799,48460/1/47120/372739/47158/184884/47201/124417/981280/480797/203213/373338/1115772/480835,203213
Acanthaclisis occitanica,493370,48460/1/47120/372739/47158/184884/48763/489592/49359/49358/713281/417290/493371,49358
Acanthia,1412661,48460/1/47120/372739/47158/184884/47744/61267/372863/1397557/135298/1079741/1079732,135298
Acanthiophilus helianthi,488045,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/62006/47990/59586/59587/488046,47990
Acanthobodilus immundus,605438,48460/1/47120/372739/47158/184884/47208/71130/702480/48202/48201/51977/373640/1288305/605440,48201
Acanthochermes quercus,1048467,48460/1/47120/372739/47158/184884/47744/334037/901813/61514/319318/1018108,319318
Acanthocinus aedilis,515219,48460/1/47120/372739/47158/184884/47208/71130/372852/963992/47961/50265/50266/50262/1184154,47961
Acanthocinus griseus,578622,48460/1/47120/372739/47158/184884/47208/71130/372852/963992/47961/50265/50266/50262/1184154,47961
Acanthocinus reticulatus,321446,48460/1/47120/372739/47158/184884/47208/71130/372852/963992/47961/50265/50266/50262/1184154,47961
Acanthocnema glaucescens,1064930,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/342767/54992/68719/936733/1009211,68719
Acanthococcus aceris,1089197,48460/1/47120/372739/47158/184884/47744/334037/60922/48026/471673,48026
Acanthococcus crispus,1467987,48460/1/47120/372739/47158/184884/47744/334037/60922/48026/471673,48026
Acanthococcus ericae,1467988,48460/1/47120/372739/47158/184884/47744/334037/60922/48026/471673,48026
Acanthococcus glanduliferus,1467990,48460/1/47120/372739/47158/184884/47744/334037/60922/48026/471673,48026
Acanthococcus parvisetus,1467991,48460/1/47120/372739/47158/184884/47744/334037/60922/48026/471673,48026
Acanthococcus roboris,1514563,48460/1/47120/372739/47158/184884/47744/334037/60922/48026/471673,48026
Acanthococcus thymi,1467995,48460/1/47120/372739/47158/184884/47744/334037/60922/48026/471673,48026
Acanthococcus transversus,1467996,48460/1/47120/372739/47158/184884/47744/334037/60922/48026/471673,48026
Acanthococcus uvaeursi,1514562,48460/1/47120/372739/47158/184884/47744/334037/60922/48026/471673,48026
Acanthocreagris aelleni,1187160,48460/1/47120/245097/47119/172373/372876/928848/172452/85918/1020822,85918
Acanthocreagris corsa,1187159,48460/1/47120/245097/47119/172373/372876/928848/172452/85918/1020822,85918
Acanthocreagris gallica,1187158,48460/1/47120/245097/47119/172373/372876/928848/172452/85918/1020822,85918
Acanthocreagris lucifuga,1187157,48460/1/47120/245097/47119/172373/372876/928848/172452/85918/1020822,85918
Acanthocreagris pyrenaica,1187156,48460/1/47120/245097/47119/172373/372876/928848/172452/85918/1020822,85918
Acanthocyclops agamus,949380,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/1066595/85718/86178,85718
Acanthocyclops capillatus,702504,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/1066595/85718/86178,85718
Acanthocyclops robustus,345066,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/1066595/85718/86178,85718
Acanthocyclops venustus,1075681,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/1066595/85718/86178,85718
Acanthocyclops vernalis,212213,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/1066595/85718/86178,85718
Acanthodelphax denticauda,915518,48460/1/47120/372739/47158/184884/47744/125816/372860/1473811/123608/460738/518002/366583/1073152,123608
Acanthodelphax spinosa,915519,48460/1/47120/372739/47158/184884/47744/125816/372860/1473811/123608/460738/518002/366583/1073152,123608
Acanthodiaptomus denticornis,944709,48460/1/47120/85493/473790/1091452/121643/774777/774778/85507/85732/944708,85732
Acanthogethes brevis,1084980,48460/1/47120/372739/47158/184884/47208/71130/372852/48485/126791/321018/457065,126791
Acanthogethes fuscus,457064,48460/1/47120/372739/47158/184884/47208/71130/372852/48485/126791/321018/457065,126791
Acanthogethes reyi,1084981,48460/1/47120/372739/47158/184884/47208/71130/372852/48485/126791/321018/457065,126791
Acanthogethes solidus,765727,48460/1/47120/372739/47158/184884/47208/71130/372852/48485/126791/321018/457065,126791
Acantholeberis curvirostris,483847,48460/1/47120/85493/60395/1134694/68305/774762/1068393/483848,1068393
Acantholyda erythrocephala,212218,48460/1/47120/372739/47158/184884/47201/84643/143250/143249/902722/172673,143249
Acantholyda hieroglyphica,987017,48460/1/47120/372739/47158/184884/47201/84643/143250/143249/902722/172673,143249
Acantholyda laricis,1348285,48460/1/47120/372739/47158/184884/47201/84643/143250/143249/902722/172673,143249
Acantholyda posticalis,499089,48460/1/47120/372739/47158/184884/47201/84643/143250/143249/902722/172673,143249
Acanthopsyche atra,522528,48460/1/47120/372739/47158/184884/47157/61414/61415/473082/522529,61415
Acanthosoma haemorrhoidale,51149,48460/1/47120/372739/47158/184884/47744/61267/372868/47743/51159/768430/51155,51159
Acanthothrips nodicornis,450142,48460/1/47120/372739/47158/184884/83201/464109/143336/338493/450141,143336
Acarapis dorsalis,384875,48460/1/47120/245097/47119/52788/129763/83740/55597/635848/635927/245194/249768,245194
Acarapis externus,408347,48460/1/47120/245097/47119/52788/129763/83740/55597/635848/635927/245194/249768,245194
Acarapis woodi,262995,48460/1/47120/245097/47119/52788/129763/83740/55597/635848/635927/245194/249768,245194
Acartauchenius scurrilis,784258,48460/1/47120/245097/47119/47118/120474/342614/319384/67599/495875/419044,67599
Acartia bifilosa,201771,48460/1/47120/85493/473790/1091452/121643/774777/774778/85507/195129/195081,195129
Acartophthalmus bicolor,944822,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/361261/510086/510101,510086
Acartophthalmus nigrinus,624378,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/361261/510086/510101,510086
Acasis appensata,321842,48460/1/47120/372739/47158/184884/47157/49531/49530/123032/123038/172730,49530
Acasis viretata,321841,48460/1/47120/372739/47158/184884/47157/49531/49530/123032/123038/172730,49530
Acaudinum centaureae,1088814,48460/1/47120/372739/47158/184884/47744/334037/901813/52380/52381/194066/373734/1018334,52381
Acaudinum longisetosum,1088815,48460/1/47120/372739/47158/184884/47744/334037/901813/52380/52381/194066/373734/1018334,52381
Accanthopus velikensis,495263,48460/1/47120/372739/47158/184884/47208/71130/372852/47593/53816/319025/510284/495262,53816
Acemya acuticornis,1088455,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/342767/356157/51953/481485/699323/851901,51953
Acemya rufitibia,1048607,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/342767/356157/51953/481485/699323/851901,51953
Acentrella inexpectata,1468474,48460/1/47120/372739/47158/184884/48011/48009/172683,48009
Acentrella sinaica,1289094,48460/1/47120/372739/47158/184884/48011/48009/172683,48009
Acentria ephemerella,417098,48460/1/47120/372739/47158/184884/47157/49682/52002/122480/172681,52002
Acentrotypus brunnipes,322127,48460/1/47120/372739/47158/184884/47208/71130/372852/60473/61949/508021/340771,61949
Acentrus histrio,1085323,48460/1/47120/372739/47158/184884/47208/71130/372852/60473/48736/373408/1085324,48736
