name,taxon_id,ancestry
Atelestidae,558000,48460/1/47120/372739/47158/184884/47822/48091/372865/318504
Atemnidae,432754,48460/1/47120/245097/47119/172373/372876/928847/928851/172435
Athericidae,154586,48460/1/47120/372739/47158/184884/47822/48091/372865/342679
Attelabidae,60474,48460/1/47120/372739/47158/184884/47208/71130/372852/60473
Aturidae,245038,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/495539
Atyidae,85614,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/342912/342921
Atypidae,61443,48460/1/47120/245097/47119/47118/84719/367198
Aulacidae,145378,48460/1/47120/372739/47158/184884/47201/124417/145377
Aulacigastridae,371084,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/48087
Autognetidae,245059,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/245062
Autostichidae,210585,48460/1/47120/372739/47158/184884/47157/55518
Avenzoariidae,373218,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466256
Axonopsidae,245006,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/495539
Azotidae,373317,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Bacillidae,337090,48460/1/47120/372739/47158/184884/47198/569714/569717/180409
Baetidae,48009,48460/1/47120/372739/47158/184884/48011
Bathynellidae,483938,48460/1/47120/85493/473790/47187/774775/144123/153113
Bathytropidae,339121,48460/1/47120/85493/473790/47187/774775/144114/48147/84718/343783/343798
Batrachedridae,173417,48460/1/47120/372739/47158/184884/47157/55518
Bdellidae,120955,48460/1/47120/245097/47119/52788/129763/83740/55597/635809/245051
Bedelliidae,173416,48460/1/47120/372739/47158/184884/47157/53552
Belisariidae,1286465,48460/1/47120/245097/47119/48894/1323567/1323568/1323570/130035
Beraeidae,173415,48460/1/47120/372739/47158/184884/62164/372875/121942
Berothidae,177315,48460/1/47120/372739/47158/184884/48763/483236
Berytidae,57804,48460/1/47120/372739/47158/184884/47744/61267/372868/466233
Bethylidae,203283,48460/1/47120/372739/47158/184884/47201/124417/326777/203212
Bibionidae,56097,48460/1/47120/372739/47158/184884/47822/154259/489328
Biphyllidae,173920,48460/1/47120/372739/47158/184884/47208/71130/372852/55050
Bittacidae,49363,48460/1/47120/372739/47158/184884/49369
Blaniulidae,133832,48460/1/47120/144128/47735/551278/372763/997267/372724/82535/997341
Blasticotomidae,856577,48460/1/47120/372739/47158/184884/47201/84643/49452
Blastobasidae,173093,48460/1/47120/372739/47158/184884/47157/55518
Blattellidae,1425419,48460/1/47120/372739/47158/184884/81769/81770
Blattidae,82232,48460/1/47120/372739/47158/184884/81769/129743/709252
Blephariceridae,49361,48460/1/47120/372739/47158/184884/47822/154259/774833
Blissidae,489050,48460/1/47120/372739/47158/184884/47744/61267/372868/466233
Bogidiellidae,85640,48460/1/47120/85493/473790/47187/774775/144114/47628/869842/983321/983322/983314
Bolitophilidae,557992,48460/1/47120/372739/47158/184884/47822/154259/489328/493389
Bombyliidae,51558,48460/1/47120/372739/47158/184884/47822/48091/372865/354603
Boreidae,173350,48460/1/47120/372739/47158/184884/49369
Bosminidae,171264,48460/1/47120/85493/60395/1134694/68305/774762
Bostrichidae,47625,48460/1/47120/372739/47158/184884/47208/71130/372844/47496
Bothrideridae,173345,48460/1/47120/372739/47158/184884/47208/71130/372852/471714
Bourletiellidae,179535,48460/1/47120/372739/243773/49470/152965/171630
Brachodidae,123028,48460/1/47120/372739/47158/184884/47157/122746
Brachycentridae,172761,48460/1/47120/372739/47158/184884/62164/372875/81972
Brachychaeteumatidae,336958,48460/1/47120/144128/47735/551278/372763/997267/551280/50425/986465/986475
Brachychthoniidae,245058,48460/1/47120/245097/47119/52788/129763/81508/332183/888610/245063
Brachypauropodidae,372963,48460/1/47120/144128/83243/153129
Brachystomatidae,464956,48460/1/47120/372739/47158/184884/47822/48091/372865/318504
Brachystomellidae,205710,48460/1/47120/372739/243773/49470/129730/83890
Braconidae,63187,48460/1/47120/372739/47158/184884/47201/124417/47200
Brahmaeidae,179915,48460/1/47120/372739/47158/184884/47157/47214
Branchipodidae,85646,48460/1/47120/85493/60395/495841/119123/1068362
Braulidae,56882,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/361261
Brentidae,61949,48460/1/47120/372739/47158/184884/47208/71130/372852/60473
Bucculatricidae,173305,48460/1/47120/372739/47158/184884/47157/61352
Buemarinoidae,1150517,48460/1/47120/245097/47119/47367/202277/526083/526085
Buprestidae,54964,48460/1/47120/372739/47158/184884/47208/71130/372854/54965
Buthidae,119058,48460/1/47120/245097/47119/48894/1323567/1323568/1323569/119057
Byrrhidae,130840,48460/1/47120/372739/47158/184884/47208/71130/372854/130839
Byturidae,130844,48460/1/47120/372739/47158/184884/47208/71130/372852/55050
Caeciliusidae,245105,48460/1/47120/372739/47158/184884/83187/144300/480277
Caeculidae,245057,48460/1/47120/245097/47119/52788/129763/83740/55597/635811/635935
Caenidae,173246,48460/1/47120/372739/47158/184884/48011/173245
Calamoceratidae,173239,48460/1/47120/372739/47158/184884/62164/372875/173238
Caliscelidae,173236,48460/1/47120/372739/47158/184884/47744/125816/372860/52073
Calliphoridae,61860,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/342767/356157
Callipodidae,919443,48460/1/47120/144128/47735/551278/372763/997267/551280/153143/999085
Calophyidae,326724,48460/1/47120/372739/47158/184884/47744/334037/48195
Calopterygidae,47929,48460/1/47120/372739/47158/184884/47792/47928/1317181
Camillidae,510152,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/555548
Camisiidae,245068,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1465863/245076
Campichoetidae,981207,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/555548
Campodeidae,56214,48460/1/47120/372739/243773/56215/152967/1001364
Canacidae,203411,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/361261
Candonidae,85655,48460/1/47120/85493/473792/68764/774780/85538/1066627/996554
Canestriniidae,246200,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1255718/1466257
Cantharidae,52932,48460/1/47120/372739/47158/184884/47208/71130/372854/47207
Canthocamptidae,85656,48460/1/47120/85493/473790/1091452/121643/774777/774779/85521
Capniidae,172900,48460/1/47120/372739/47158/184884/47504/372838/570126/148186
Carabidae,49567,48460/1/47120/372739/47158/184884/47208/340471/372884
Carabodidae,245066,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/245070
Carnidae,329801,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/361261
Cecidomyiidae,55699,48460/1/47120/372739/47158/184884/47822/154259/489328/493389
Cephidae,143247,48460/1/47120/372739/47158/184884/47201/84643/143246
Cerambycidae,47961,48460/1/47120/372739/47158/184884/47208/71130/372852/963992
Ceratocombidae,372971,48460/1/47120/372739/47158/184884/47744/61267/372839/174254
Ceratophyllidae,245153,48460/1/47120/372739/47158/184884/83204/245120
Ceratopogonidae,69803,48460/1/47120/372739/47158/184884/47822/154259/153429/509764
Ceratozetidae,245064,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/245069
Cercopagididae,171272,48460/1/47120/85493/60395/1134694/68305/774765
Cercopidae,61863,48460/1/47120/372739/47158/184884/47744/125816/372849/56194
